thread	id	link	text	parent_id	has_media	review_relevance	review_aspect	review_kind	review_summary	review_quote	review_context_ids	review_note	model_relevance	model_aspect	model_kind	model_summary	model_context_ids	relevance_agrees	summary_review	model_review_note
21055	342461	https://t.me/rawa_imagination/21055?comment=342461	А биток жует сопли		False	unrelated		opinion			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
21055	342462	https://t.me/rawa_imagination/21055?comment=342462	Но я утром смотрел там вверху эфира очень много шортов на ликвидацию было		False	relevant	market	experience	Автор сообщает, что утром видел много шортов на ликвидацию выше цены ETH.	Но я утром смотрел там вверху эфира очень много шортов на ликвидацию было	[]		relevant	market	experience	Говорит, что утром видел много шортов на ликвидацию вверху эфира.	['post']	True	faithful	
21055	342463	https://t.me/rawa_imagination/21055?comment=342463	его задача при альтсезоне просто не падать	342461	False	unrelated		opinion			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
21055	342464	https://t.me/rawa_imagination/21055?comment=342464	Но я рад что сыой шорт закрыл по стопу😁		False	unclear		other			[]	Свой шорт назван без актива; просто ответ на пост не доказывает ETH.	unrelated		experience		[]	False	not_applicable	
21055	342465	https://t.me/rawa_imagination/21055?comment=342465	А может биток расти, а альты при этом расти гораздо сильнее?	342463	False	unrelated		question			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		question		[]	True	not_applicable	
21055	342466	https://t.me/rawa_imagination/21055?comment=342466	откудова эти объемы		False	relevant	market	question	Спрашивает об источнике объёмов на описанном в посте движении ETH.	откудова эти объемы	['post']		relevant	market	question	Спрашивает, откуда взялись эти объемы.	['post']	True	faithful	
21055	342467	https://t.me/rawa_imagination/21055?comment=342467	если ставку фрс снизят на 2 процента, почему бы и нет	342465	False	unrelated		opinion			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
21055	342468	https://t.me/rawa_imagination/21055?comment=342468	это спот	342466	False	relevant	market	other	Называет упомянутые объёмы спотовыми.	это спот	['342466', 'post']		relevant	market	experience	Отвечает, что это спот.	['342466']	True	faithful	Пересказ верен, kind=other: утверждение о спотовом объёме, а не собственный опыт.
21055	342469	https://t.me/rawa_imagination/21055?comment=342469	Да я не тебя спрашивал	342467	False	unrelated		other			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		other		[]	True	not_applicable	
21055	342470	https://t.me/rawa_imagination/21055?comment=342470	достаточно просто стоять на месте	342465	False	unrelated		opinion			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
21055	342471	https://t.me/rawa_imagination/21055?comment=342471	Кстати все локальное падение по альтам спот выкупали. Ондо, ниар, зен точно. На койнглас смотрел		False	unrelated		other			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		experience		[]	True	not_applicable	
21055	342472	https://t.me/rawa_imagination/21055?comment=342472	и вам доброго вечера	342469	False	unrelated		other			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		other		[]	True	not_applicable	
21055	342473	https://t.me/rawa_imagination/21055?comment=342473	Объявляйте альтсезон!	342470	False	unrelated		other			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
21055	342474	https://t.me/rawa_imagination/21055?comment=342474	Рано	342473	False	unrelated		opinion			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
21055	342476	https://t.me/rawa_imagination/21055?comment=342476	"Обьявляем. Как по мне он возможен с сейчас по январь. С очень аккуратно с 17 октября по середину ноября. Может быть или сильный откат или вообще конец.

У крипты высока корреляция с етф софтвээр. И вот по опционам страйки стоят в рост до 15 января. Но в конце октября резкое падение.

Шансы есть но надо очень аккуратно. Без плечей.

Ну, это так, вдруг как ориентир вам пригодится"	342473	False	unrelated		other			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
21055	342477	https://t.me/rawa_imagination/21055?comment=342477	Чот месяца мало, учитывая что до значений марта 24го большинству монет 15 - 20 иксов	342476	False	unrelated		opinion			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
21055	342478	https://t.me/rawa_imagination/21055?comment=342478	если вы про всякий бесполезный треш, то там альтсезон вряд-ли когда-либо случится ещё раз, для него нужны вертолетные деньги, которые в текущих условиях не предвидятся	342477	False	unrelated		opinion			[]	Обсуждается другой предмет; наличие ETH-поста/дальнего предка само по себе недостаточно.	unrelated		opinion		[]	True	not_applicable	
